,Package_Type,Duration_Days,Duration_Nights,Starting_Location,Destination_Cities,Destination_Cities_Count,Included_Activities,Hotel_Ratings,Original_Price_INR,Deal_Price_INR,Discount_Percentage
0,Most Reasonable Goa Honeymoon,5,4,Goa,Goa ,1,Hot  Pick Water  Activities Romantic  Cruise ,2,12571,11000,12
1,Fantastic Andaman Honeymoon,5,4,Port Blair,"Port Blair ,Havelock ",2,Corbyn's  Beach  Cove Adventure Radhanagar  Beach ,3,18811,15599,17
2,Romantic Mussoorie Tour Package,3,2,Mussoorie,Mussoorie ,1,Sightseeing Nature Hill station Himalayas Romantic Hills ,3,12000,10500,13
3,Coorg Package,3,2,Coorg,Coorg ,1,Coorg sightseeing Adventure Rajaâs  Seat Nature Abbey  ,3,17802,16200,9
4,Best   Andaman Sightseeing Tour Package,5,4,Port Blair,"Port Blair ,Havelock ",2,Cellular  Jail Light &  Sound  Show Adventure ,3,36484,33200,9
5,Mesmerising Manali Trip Package,3,2,Manali,Manali ,1,Hadimba  Temple Adventure Solang  Valley Nature ,3,10440,9500,9
6,Hills & Houseboat: Munnar and Alleppey Honeymoon,6,5,Munnar,"Munnar ,Thekkady ,Alleppey ,Kochi ",4,  Periyar  Wildlife  Sanctuary Cruises Eravikulam  ,3,23644,21280,10
7,Top Family Holiday Package,5,4,Calangute,Calangute ,1,Family Dolphin spotting Cruises Kid's  Special Best sellers ,3,15217,14000,8
8,Most Affordable  ight   Uttarakhand Tour Package,2,1,Rishikesh,Rishikesh ,1,River  Rafting Hill station Adventure Nature Trekking ,2,3360,2800,17
9,Top     Best-Selling Sikkim Gangtok arjeeling Tour Package,5,4,Gangtok,"Gangtok ,Darjeeling ",2,Best- Selling Himalaya Hill station Road  Trip ,3,22956,19233,16
10,Best  ight  ay Leh Ladakh Tour Package,6,5,Leh,"Leh ,Nubra Valley ",2,Nature Road  Trip Adventure Campinglandscape Ideal for friends ,3,28110,21999,22
11,Postcard-Perfect Sikkim Gangtok Lachung Honeymoon,5,4,Gangtok,"Gangtok ,Lachung ",2,Adventure Northeast Hill station Hills Nature Waterfallsshopping ,3,47253,43315,8
12,Best Selling Kerala Houseboat & Jungle Safari Tour Package,5,4,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Wildlife safari Adventure Backwaters Hill station Hills Houseboat ,3,21993,17920,19
13,Go on an excursion to Shillong to witness the best of natural attraction,6,5,Kaziranga,"Kaziranga ,Shillong ,Guwahati ",3,Kaziranga  National  Park Adventure Elephant  Safari ,2,23563,20500,13
14,Top     Kerala Family Tour Package,6,5,Munnar,"Munnar ,Thekkady ,Alleppey ,Kochi ",4,Pocket-friendly Cruises Scenic  Routes Hill station Private  ,3,24008,19643,18
15,Exciting Goa Tour Package,3,2,Goa,Goa ,1,Beach vacation  Adventure Nightlife Nature Shopping Beach ,3,15615,14500,7
16,iscover Our Beautiful     Andaman Family Tour Package,5,4,Port Blair,"Port Blair ,Havelock ",2,Watersports Beach  Vacation Light &  Sound  Show ,2,23574,18990,19
17,    Sikkim Family Tour Package,5,4,Gangtok,"Gangtok ,Lachung ",2,Historical Himalayas Adventure Private  Transfers Hill station ,2,51262,42718,17
18,Best Selling Shimla Honeymoon,3,2,Shimla,Shimla ,1,Adventure Hill  Station Nature Scenic  Landscapes ,2,10543,9000,15
19,Jammu Kashmir Family Package,7,6,Katra,"Katra ,Pahalgam ,Srinagar ,Gulmarg ",4,Vaishno  Devi Nature Patnitop Religious Shikara  ,2,23630,21952,7
